Class,Section,Term,Size,GPA,A%,B%,C%,D%,F%,W%,Teacher
CS 7642,O03,Fall 2017,Very Large (>50 students),3.39,42.2,15.2,4.3,3.8,1.4,33.2,Charles Isbell
CS 7642,O03,Fall 2018,Very Large (>50 students),3.44,42.5,19.1,1.4,1.7,2.8,32.6,Charles Isbell
CS 7642,O03,Fall 2019,Very Large (>50 students),3.47,43.2,22.2,2.5,0.4,2.2,29.2,Charles Isbell
CS 7642,O03,Fall 2020,Very Large (>50 students),3.55,44.3,19.6,2.2,0.9,1.1,32,Charles Isbell
CS 7642,O03,Spring 2018,Very Large (>50 students),3.43,46.9,17.5,3,4,1.6,27.1,Charles Isbell
CS 7642,O03,Spring 2019,Very Large (>50 students),3.48,46.8,25.1,3.2,0.8,1.6,22.5,Charles Isbell
CS 7642,O03,Spring 2020,Very Large (>50 students),3.58,45,23.3,1.9,0,0.6,29.3,Charles Isbell
CS 7642,OAN,Spring 2020,Large (31-49 students),3.7,50,21,0,0,0,29,Charles Isbell
CS 7642,O01,Spring 2021,Very Large (>50 students),3.49,42.3,26,1.7,1.4,0.9,25.7,Charles Isbell
CS 7642,OAN,Spring 2021,Very Large (>50 students),3.38,43.5,31.9,1.4,1.4,2.9,17.4,Charles Isbell
CS 7642,R,Spring 2021,Very Small (<10 students),3.5,50,50,0,0,0,0,Charles Isbell
CS 7642,O03,Summer 2017,Very Large (>50 students),3.63,54.8,23.3,2.5,0.7,0,18.6,Charles Isbell
CS 7642,O03,Summer 2018,Very Large (>50 students),3.49,50.2,22.6,2.4,1.8,1.8,21.4,Charles Isbell
CS 7642,O03,Summer 2019,Very Large (>50 students),3.53,47.3,25.5,2.7,0.3,1.1,22.6,Charles Isbell
CS 7642,O03,Summer 2020,Very Large (>50 students),3.55,47,24.8,2.1,0.7,0.7,24.6,Charles Isbell
CS 7641,O01,Fall 2014,Very Large (>50 students),3.29,33.7,19.3,1.6,4.8,1.6,39,Charles Isbell
CS 7641,O01,Fall 2015,Very Large (>50 students),3.54,39.8,13.1,1.4,1.7,1.4,42.6,Charles Isbell
CS 7641,O01,Fall 2016,Very Large (>50 students),3.52,38.2,15.3,4.3,0.5,0.8,41,Charles Isbell
CS 7641,O3,Fall 2016,Very Small (<10 students),4,100,0,0,0,0,0,Charles Isbell
CS 7641,O01,Fall 2017,Very Large (>50 students),3.54,37.8,17.7,2.2,0.3,1,40.9,Charles Isbell
CS 7641,O3,Fall 2017,Very Small (<10 students),3.5,50,50,0,0,0,0,Charles Isbell
CS 7641,OAN,Fall 2017,Small (10-20 students),4,41.7,0,0,0,0,58.3,Charles Isbell
CS 7641,O01,Fall 2018,Very Large (>50 students),3.48,35.6,26.8,1.1,0.5,0.8,35.2,Charles Isbell
CS 7641,O3,Fall 2018,Small (10-20 students),3.82,64.3,14.3,0,0,0,21.4,Charles Isbell
CS 7641,OAN,Fall 2018,Very Large (>50 students),3.53,41.8,23.5,3.1,1,0,30.6,Charles Isbell
CS 7641,O01,Fall 2019,Very Large (>50 students),3.39,30.4,23,4.7,0.5,0.5,40.5,Charles Isbell
CS 7641,O3,Fall 2019,Small (10-20 students),3.85,73.3,13.3,0,0,0,13.3,Charles Isbell
CS 7641,O01,Fall 2020,Very Large (>50 students),3.39,32.2,25.8,3.4,1.1,0.6,37,Charles Isbell
CS 7641,O3,Fall 2020,Small (10-20 students),4,58.3,0,0,0,0,41.7,Charles Isbell
CS 7641,R,Fall 2020,Very Small (<10 students),4,100,0,0,0,0,0,Charles Isbell
CS 7641,R2,Fall 2020,Very Small (<10 students),3,0,100,0,0,0,0,Charles Isbell
CS 7641,A,Spring 2011,Large (31-49 students),3.71,64.1,20.5,2.6,0,0,7.7,Charles Isbell
CS 7641,O01,Spring 2014,Very Large (>50 students),3.53,37.9,16.3,1.3,2,0.6,41.8,Charles Isbell
CS 7641,O01,Spring 2015,Very Large (>50 students),3.56,40.8,12.5,3,2,0.3,41.4,Charles Isbell
CS 7641,O01,Spring 2016,Very Large (>50 students),3.53,41.1,15.1,4.2,1.1,0.6,38,Charles Isbell
CS 7641,O3,Spring 2016,Very Small (<10 students),3.56,77.8,11.1,0,11.1,0,0,Charles Isbell
CS 7641,A,Spring 2017,Very Large (>50 students),3.68,60.6,28.2,0,0,0,9.9,Charles Isbell
CS 7641,O01,Spring 2017,Very Large (>50 students),3.56,40.3,19.8,0.8,0.4,1.3,37.4,Charles Isbell
CS 7641,O3,Spring 2017,Very Small (<10 students),3.71,71.4,28.6,0,0,0,0,Charles Isbell
CS 7641,A,Spring 2018,Very Large (>50 students),3.81,76.9,16.2,0.8,0,0,3.8,Charles Isbell
CS 7641,O01,Spring 2018,Very Large (>50 students),3.58,44.1,23,0.8,0.2,1,31,Charles Isbell
CS 7641,O3,Spring 2018,Small (10-20 students),3.57,40,30,0,0,0,30,Charles Isbell
CS 7641,OAN,Spring 2018,Large (31-49 students),3.56,34.8,15.2,4.4,0,0,45.6,Charles Isbell
CS 7641,A,Spring 2019,Very Large (>50 students),3.6,56.2,33.6,1.4,0,0,3.4,Charles Isbell
CS 7641,O01,Spring 2019,Very Large (>50 students),3.47,37.5,26.6,2.6,0.3,0.8,32.2,Charles Isbell
CS 7641,O3,Spring 2019,Small (10-20 students),3.6,60,40,0,0,0,0,Charles Isbell
CS 7641,OAN,Spring 2019,Very Large (>50 students),3.52,50,31.4,2.9,1.4,0,14.3,Charles Isbell
CS 7641,O01,Spring 2020,Very Large (>50 students),3.59,38.9,23.4,0.8,0.3,0.1,36.4,Charles Isbell
CS 7641,O3,Spring 2020,Small (10-20 students),3.06,31.6,42.1,15.8,5.3,0,5.3,Charles Isbell
CS 7641,O01,Spring 2021,Very Large (>50 students),3.35,32.3,27.5,4,1,1.1,33.7,Charles Isbell
CS 7641,O3,Spring 2021,Very Small (<10 students),2.5,0,50,0,16.7,0,33.3,Charles Isbell
CS 7641,A,Summer 2011,Very Small (<10 students),3,0,100,0,0,0,0,Charles Isbell
CS 7641,QSA,Summer 2018,Large (31-49 students),3.53,67.6,23.5,5.9,0,2.9,0,Charles Isbell
CS 6035,A,Fall 2014,Mid-Size (21-30 students),3.97,96.7,3.3,0,0,0,0,Wenke Lee
CS 6035,Q,Fall 2014,Very Small (<10 students),4,100,0,0,0,0,0,Wenke Lee
CS 6035,A,Fall 2015,Small (10-20 students),3.86,85.7,14.3,0,0,0,0,Wenke Lee
CS 6035,O01,Fall 2015,Very Large (>50 students),3.52,51.4,39.6,2.4,0,0,6.5,Wenke Lee
CS 6035,A,Fall 2016,Small (10-20 students),4,92.3,0,0,0,0,7.7,Wenke Lee
CS 6035,O01,Fall 2016,Very Large (>50 students),3.71,69.9,9.8,3.4,0,2.1,14.8,Wenke Lee
CS 6035,A,Fall 2017,Large (31-49 students),3.87,92.1,2.6,5.3,0,0,0,Wenke Lee
CS 6035,O01,Fall 2017,Very Large (>50 students),3.64,63.7,16.1,2.8,1.1,1.5,14.9,Wenke Lee
CS 6035,O01,Fall 2018,Very Large (>50 students),3.51,56.8,19.7,3,1.1,2.9,16.5,Wenke Lee
CS 6035,O01,Fall 2019,Very Large (>50 students),3.21,34.2,31.3,6.2,1.8,2.8,22.6,Wenke Lee
CS 6035,OCY,Fall 2019,Very Large (>50 students),3.03,32.6,23.9,6.1,3,6.1,25.4,Wenke Lee
CS 6035,O01,Fall 2020,Very Large (>50 students),3.38,50.5,24.6,4.3,2.2,3.2,14.6,Wenke Lee
CS 6035,OCY,Fall 2020,Very Large (>50 students),2.74,36.9,20.2,6.4,7.5,12.3,16.7,Wenke Lee
CS 6035,O01,Spring 2016,Very Large (>50 students),3.68,68.7,19.3,1.8,2,0,8.2,Wenke Lee
CS 6035,O01,Spring 2017,Very Large (>50 students),3.69,63.9,15.9,1.8,1.6,0.5,16.1,Wenke Lee
CS 6035,O01,Spring 2018,Very Large (>50 students),3.52,56.8,17.5,3.1,2.1,2.3,18.1,Wenke Lee
CS 6035,O01,Spring 2019,Very Large (>50 students),3.44,52,21.1,2.8,1.3,3.7,19.1,Wenke Lee
CS 6035,OCY,Spring 2019,Very Large (>50 students),2.96,40.4,22.2,5.6,3,10.6,18.2,Wenke Lee
CS 6035,O01,Spring 2020,Very Large (>50 students),3.38,39.4,26.9,4.6,0.5,1.9,26.6,Wenke Lee
CS 6035,OCY,Spring 2020,Very Large (>50 students),3.2,29.5,23.2,8.7,0.5,2.4,35.3,Wenke Lee
CS 6035,QSA,Spring 2020,Large (31-49 students),3.42,54.8,38.7,3.2,0,3.2,0,Wenke Lee
CS 6035,O01,Spring 2021,Very Large (>50 students),3.29,43.3,26,3.7,3.1,3.4,19.3,Wenke Lee
CS 6035,OCY,Spring 2021,Very Large (>50 students),3.01,35.1,21.6,7.7,2.4,7.2,25.5,Wenke Lee
CS 6035,O01,Summer 2016,Very Large (>50 students),3.69,67.8,22.1,3.2,0,0,6.8,Wenke Lee
CS 6035,O01,Summer 2017,Very Large (>50 students),3.61,61.6,19.4,2.4,0.3,2,14.4,Wenke Lee
CS 6035,O01,Summer 2018,Very Large (>50 students),3.52,49.4,30.9,2.5,0.2,1,16,Wenke Lee
CS 6035,O01,Summer 2019,Very Large (>50 students),3.36,39.3,31.9,4.1,0.9,1.8,21.9,Wenke Lee
CS 6035,OCY,Summer 2019,Small (10-20 students),2.7,23.5,17.6,5.9,0,11.8,41.2,Wenke Lee
CS 6035,O01,Summer 2020,Very Large (>50 students),3.49,55.6,20.8,2.6,0.8,3.6,15.6,Wenke Lee
CS 6035,OCY,Summer 2020,Large (31-49 students),2.61,25.6,18,7.7,15.4,5.1,25.6,Wenke Lee
CS 6210,R,Fall 2010,Very Small (<10 students),4,100,0,0,0,0,0,Ukakishore Ramachandran
CS 6210,RKR,Fall 2010,Mid-Size (21-30 students),3.64,68.2,27.3,4.6,0,0,0,Ukakishore Ramachandran
CS 6210,A,Fall 2011,Very Large (>50 students),3.17,30.4,41.1,12.5,1.8,0,10.7,Ukakishore Ramachandran
CS 6210,O01,Fall 2014,Very Large (>50 students),2.89,15.7,22.9,3.9,2.6,3.9,51,Ukakishore Ramachandran
CS 6210,A,Fall 2015,Very Large (>50 students),3.95,87.5,4.7,0,0,0,3.1,Ukakishore Ramachandran
CS 6210,O01,Fall 2015,Very Large (>50 students),3.31,33.1,18.6,4.8,0,3.2,40.3,Ukakishore Ramachandran
CS 6210,O3,Fall 2015,Very Small (<10 students),3.17,33.3,50,16.7,0,0,0,Ukakishore Ramachandran
CS 6210,A,Fall 2016,Large (31-49 students),3.63,58.3,29.2,2.1,0,0,2.1,Ukakishore Ramachandran
CS 6210,O01,Fall 2016,Very Large (>50 students),2.75,21.6,24.5,5.9,1,9.8,37.2,Ukakishore Ramachandran
CS 6210,A,Fall 2017,Large (31-49 students),3.74,68.4,10.5,0,0,2.6,13.2,Ukakishore Ramachandran
CS 6210,O01,Fall 2017,Very Large (>50 students),2.71,20.9,20.9,6.3,5.7,7,39.2,Ukakishore Ramachandran
CS 6210,A,Fall 2018,Very Large (>50 students),3.89,83.3,10,0,0,0,3.3,Ukakishore Ramachandran
CS 6210,O01,Fall 2018,Very Large (>50 students),3.31,41.2,15.5,5.9,1.6,3.7,32.1,Ukakishore Ramachandran
CS 6210,O01,Fall 2019,Very Large (>50 students),3.45,42.1,18.2,3.2,1.2,2,33.2,Ukakishore Ramachandran
CS 6210,OCY,Fall 2019,Very Small (<10 students),2.2,16.7,16.7,33.3,0,16.7,16.7,Ukakishore Ramachandran
CS 6210,A,Fall 2020,Large (31-49 students),3.7,56.8,13.6,4.6,0,0,22.7,Ukakishore Ramachandran
CS 6210,A,Fall 2020,Very Small (<10 students),4,100,0,0,0,0,0,Ukakishore Ramachandran
CS 6210,O01,Fall 2020,Very Large (>50 students),3.69,59,8.8,2.3,0.5,1.8,27.6,Ukakishore Ramachandran
CS 6210,OCY,Fall 2020,Very Small (<10 students),3.33,40,0,20,0,0,40,Ukakishore Ramachandran
CS 6210,A,Spring 2013,Large (31-49 students),3.47,48.8,32.6,7,0,0,7,Ukakishore Ramachandran
CS 6210,A,Spring 2014,Very Large (>50 students),3.65,70.6,20.6,4.4,1.5,0,1.5,Ukakishore Ramachandran
CS 6210,O01,Spring 2014,Very Large (>50 students),3.71,34.3,6.7,0,1.9,0,57.1,Ukakishore Ramachandran
CS 6210,A,Spring 2015,Very Large (>50 students),3.95,90.8,4.6,0,0,0,1.5,Ukakishore Ramachandran
CS 6210,O01,Spring 2015,Very Large (>50 students),3.36,29.2,12.9,1.7,1.7,2.2,51.7,Ukakishore Ramachandran
CS 6210,A,Spring 2016,Very Large (>50 students),3.89,81.1,6.8,1.4,0,0,5.4,Ukakishore Ramachandran
CS 6210,O01,Spring 2016,Very Large (>50 students),3.2,30.6,15.3,2.7,1.8,4.5,45,Ukakishore Ramachandran
CS 6210,O01,Spring 2017,Very Large (>50 students),2.96,35,15,5,5,7.5,32.5,Ukakishore Ramachandran
CS 6210,O01,Spring 2018,Very Large (>50 students),3.16,34.6,13.6,8.2,0,5.4,38.2,Ukakishore Ramachandran
CS 6210,O01,Spring 2019,Very Large (>50 students),3.25,46.4,12.9,7.9,1.4,5.7,25.7,Ukakishore Ramachandran
CS 6210,A,Spring 2020,Large (31-49 students),3.6,50,14.3,7.1,0,0,16.7,Ukakishore Ramachandran
CS 6210,O01,Spring 2020,Very Large (>50 students),3.47,39.9,15.7,5.6,0,1.6,37.1,Ukakishore Ramachandran
CS 6210,OCY,Spring 2020,Very Small (<10 students),4,50,0,0,0,0,50,Ukakishore Ramachandran
CS 6210,O01,Spring 2021,Very Large (>50 students),3.48,44.7,13.2,3.2,0.5,3.2,32.6,Ukakishore Ramachandran
CS 6210,OCY,Spring 2021,Very Small (<10 students),3.67,50,25,0,0,0,25,Ukakishore Ramachandran
CS 6238,A,Fall 2014,Large (31-49 students),3.55,50,40.6,0,0,0,6.2,Mustaque Ahamad
CS 6238,Q,Fall 2014,Very Small (<10 students),2.8,40,40,0,0,20,0,Mustaque Ahamad
CS 6238,A,Fall 2015,Large (31-49 students),3.5,50,41.7,2.8,0,0,5.6,Mustaque Ahamad
CS 6238,QSA,Fall 2015,Large (31-49 students),3.51,57.1,37.1,5.7,0,0,0,Mustaque Ahamad
CS 6238,A,Fall 2016,Large (31-49 students),3.39,36.7,51,2,0,0,4.1,Mustaque Ahamad
CS 6238,A,Fall 2017,Large (31-49 students),3.44,51.1,40.4,2.1,0,2.1,2.1,Mustaque Ahamad
CS 6238,O01,Fall 2019,Very Large (>50 students),3.47,42.1,27.8,4.5,0,0.8,24.8,Mustaque Ahamad
CS 6238,OCY,Fall 2019,Very Large (>50 students),3.34,40.5,35.1,5.4,1.4,1.4,16.2,Mustaque Ahamad
CS 6238,O01,Fall 2020,Very Large (>50 students),3.5,44.1,39,1.7,0,0,15.2,Mustaque Ahamad
CS 6238,OCY,Fall 2020,Large (31-49 students),3.35,35,55,2.5,0,0,7.5,Mustaque Ahamad
CS 6238,A,Spring 2011,Very Large (>50 students),3.39,45.4,32.7,10.9,0,0,5.4,Mustaque Ahamad
CS 6238,Q,Spring 2011,Small (10-20 students),3.09,41.7,16.7,33.3,0,0,8.3,Mustaque Ahamad
CS 6238,A,Spring 2012,Large (31-49 students),3.46,43.2,51.4,0,0,0,2.7,Mustaque Ahamad
CS 6238,Q,Spring 2012,Very Small (<10 students),3,0,50,0,0,0,50,Mustaque Ahamad
CS 6238,Q3,Spring 2012,Small (10-20 students),3.3,30,70,0,0,0,0,Mustaque Ahamad
CS 6238,A,Spring 2013,Large (31-49 students),3.24,39,41.5,7.3,4.9,0,4.9,Mustaque Ahamad
CS 6238,Q,Spring 2013,Very Small (<10 students),2.63,25,37.5,25,0,12.5,0,Mustaque Ahamad
CS 6238,Q3,Spring 2013,Small (10-20 students),3.18,27.3,63.6,9.1,0,0,0,Mustaque Ahamad
CS 6238,QSA,Spring 2018,Large (31-49 students),3.5,61.8,26.5,11.8,0,0,0,Mustaque Ahamad
CS 6238,A,Spring 2019,Very Large (>50 students),3.43,43.4,50.9,1.9,0,0,0,Mustaque Ahamad
CS 6238,A,Spring 2020,Large (31-49 students),3.45,47.7,43.2,4.6,0,0,4.6,Mustaque Ahamad
CS 6238,A,Spring 2020,Very Small (<10 students),3.5,50,50,0,0,0,0,Mustaque Ahamad
CS 6238,O01,Spring 2020,Very Large (>50 students),3.39,37.8,34.7,4.1,0,1,22.4,Mustaque Ahamad
CS 6238,OCY,Spring 2020,Very Large (>50 students),3.44,42.4,32.2,6.8,0,0,15.2,Mustaque Ahamad
CS 6238,A,Spring 2021,Large (31-49 students),3.36,52.9,29.4,11.8,2.9,0,0,Mustaque Ahamad
CS 6238,A,Spring 2021,Very Small (<10 students),3.5,50,50,0,0,0,0,Mustaque Ahamad
CS 6238,O01,Spring 2021,Very Large (>50 students),3.24,30.6,41.2,10.6,0,0,17.6,Mustaque Ahamad
CS 6238,OCY,Spring 2021,Very Large (>50 students),3.44,46.2,35,7.5,0,0,11.2,Mustaque Ahamad
CS 6238,O01,Summer 2020,Large (31-49 students),3.43,44.7,40.4,2.1,2.1,0,10.6,Mustaque Ahamad
CS 6238,OCY,Summer 2020,Large (31-49 students),3.41,36.2,38.3,4.3,0,0,21.3,Mustaque Ahamad
CS 6250,O01,Fall 2016,Very Large (>50 students),3.32,41.3,22.7,8.7,1.1,1.9,24.3,Maria Konte
CS 6250,O01,Fall 2017,Very Large (>50 students),3.61,56.8,13.6,4,0.8,1.5,23.2,Maria Konte
CS 6250,O01,Fall 2018,Very Large (>50 students),3.61,58.5,14,2.6,1.4,1.8,21.8,Maria Konte
CS 6250,O01,Fall 2019,Very Large (>50 students),3.63,56.6,17.4,3.1,0.7,0.9,21.2,Maria Konte
CS 6250,O01,Fall 2020,Very Large (>50 students),3.66,67.2,14.3,1.9,0.4,2.5,13.6,Maria Konte
CS 6250,O01,Spring 2017,Very Large (>50 students),3.31,34.8,24.9,7.1,3.1,0,30.1,Maria Konte
CS 6250,O01,Spring 2018,Very Large (>50 students),3.64,60.2,11.5,2.5,0.7,2.3,22.8,Maria Konte
CS 6250,O01,Spring 2019,Very Large (>50 students),3.46,51.2,15.9,3.4,1.8,3.2,24.6,Maria Konte
CS 6250,O01,Spring 2020,Very Large (>50 students),3.77,65.4,13.4,1.9,0.3,0.2,18.8,Maria Konte
CS 6250,OCY,Spring 2020,Mid-Size (21-30 students),3.75,55.6,18.5,0,0,0,25.9,Maria Konte
CS 6250,O01,Spring 2021,Very Large (>50 students),3.72,68.4,14.8,2.4,0.3,1,12.6,Maria Konte
CS 6250,OCY,Spring 2021,Very Large (>50 students),3.72,58,12,0,0,2,26,Maria Konte
CS 6250,O01,Summer 2017,Very Large (>50 students),3.62,57.6,14.8,5.8,1.2,0,20.6,Maria Konte
CS 6250,O01,Summer 2018,Very Large (>50 students),3.8,70.8,12,2.1,0,0.3,14.8,Maria Konte
CS 6250,O01,Summer 2019,Very Large (>50 students),3.62,61.9,21,4,0.7,0.5,11.9,Maria Konte
CS 6250,O01,Summer 2020,Very Large (>50 students),3.73,69.5,17,2.4,0.5,0.2,9.7,Maria Konte
CS 6250,OCY,Summer 2020,Very Large (>50 students),3.78,72.7,20,0,0,0,7.3,Maria Konte
CS 6260,A,Fall 2010,Large (31-49 students),3.13,25.5,44.7,10.6,2.1,0,12.8,Alexandra Boldyreva
CS 6260,A,Fall 2011,Large (31-49 students),3.37,36.6,43.9,4.9,0,0,12.2,Alexandra Boldyreva
CS 6260,Q,Fall 2011,Small (10-20 students),2.53,23.5,41.2,11.8,11.8,11.8,0,Alexandra Boldyreva
CS 6260,A,Fall 2013,Very Large (>50 students),3.12,27.4,43.1,11.8,0,2,13.7,Alexandra Boldyreva
CS 6260,Q,Fall 2013,Very Small (<10 students),3.33,25,50,0,0,0,25,Alexandra Boldyreva
CS 6260,A,Fall 2014,Large (31-49 students),3.35,33.3,41,5.1,0,0,18,Alexandra Boldyreva
CS 6260,Q,Fall 2014,Very Small (<10 students),3,16.7,66.7,16.7,0,0,0,Alexandra Boldyreva
CS 6260,A,Fall 2015,Large (31-49 students),3.46,43.6,43.6,2.6,0,0,0,Alexandra Boldyreva
CS 6260,Q,Fall 2015,Very Small (<10 students),2.83,0,83.3,16.7,0,0,0,Alexandra Boldyreva
CS 6260,A,Fall 2016,Large (31-49 students),3.53,47.7,36.4,2.3,0,0,4.6,Alexandra Boldyreva
CS 6260,A,Fall 2017,Very Large (>50 students),3.42,44.8,43.3,3,1.5,0,3,Alexandra Boldyreva
CS 6260,O01,Fall 2020,Very Large (>50 students),3.33,39.7,30.1,6.8,1.4,1.4,20.6,Alexandra Boldyreva
CS 6260,OCY,Fall 2020,Very Large (>50 students),3.11,23,40.2,11.5,0,1.2,24.1,Alexandra Boldyreva
CS 6260,QSA,Spring 2015,Large (31-49 students),3.37,48.6,40,11.4,0,0,0,Alexandra Boldyreva
CS 6260,QSA,Spring 2018,Large (31-49 students),3.53,55.9,41.2,2.9,0,0,0,Alexandra Boldyreva
CS 6260,A,Spring 2019,Large (31-49 students),3.34,32.6,38.8,6.1,0,0,10.2,Alexandra Boldyreva
CS 6260,A,Spring 2020,Large (31-49 students),3.58,59.5,31,4.8,0,0,2.4,Alexandra Boldyreva
CS 6260,A,Spring 2020,Very Small (<10 students),4,50,0,0,0,0,50,Alexandra Boldyreva
CS 6260,O01,Spring 2020,Very Large (>50 students),3.49,37.9,30.3,3,0,0,28.8,Alexandra Boldyreva
CS 6260,OCY,Spring 2020,Very Large (>50 students),3,15.8,38.6,10.5,0,1.8,33.3,Alexandra Boldyreva
CS 6260,A,Spring 2021,Large (31-49 students),3.38,45.2,47.6,7.1,0,0,0,Alexandra Boldyreva
CS 6260,A,Spring 2021,Very Small (<10 students),3,50,0,50,0,0,0,Alexandra Boldyreva
CS 6260,O01,Spring 2021,Very Large (>50 students),3.42,40,26.2,8.8,0,0,23.8,Alexandra Boldyreva
CS 6260,OCY,Spring 2021,Very Large (>50 students),3.07,21,53.2,11.3,1.6,0,12.9,Alexandra Boldyreva
CS 6260,QSA,Spring 2021,Mid-size (21-30 students),3.07,26.7,53.3,20,0,0,0,Alexandra Boldyreva
CS 6262,O01,Fall 2016,Very Large (>50 students),3.88,77.4,6,1.4,0,0.5,14.8,Wenke Lee
CS 6262,O01,Fall 2017,Very Large (>50 students),3.36,43.7,22.7,6.4,0.3,3,23.7,Wenke Lee
CS 6262,A,Fall 2018,Very Large (>50 students),3.16,32.1,39.6,9.4,1.9,1.9,11.3,Wenke Lee
CS 6262,O01,Fall 2018,Very Large (>50 students),2.73,13.8,23.1,9,1.4,5.5,47.2,Wenke Lee
CS 6262,A,Fall 2019,Large (31-49 students),3.65,63.4,14.6,2.4,0,2.4,2.4,Wenke Lee
CS 6262,O01,Fall 2019,Very Large (>50 students),3.21,38.2,12.9,6.4,0.9,5.6,36,Wenke Lee
CS 6262,OCY,Fall 2019,Mid-Size (21-30 students),3.06,34.5,10.3,0,10.3,3.4,41.4,Wenke Lee
CS 6262,A,Fall 2020,Large (31-49 students),3.9,84.8,3,3,0,0,6.1,Wenke Lee
CS 6262,O01,Fall 2020,Very Large (>50 students),3.63,60.1,13.3,2.2,0.9,2.2,21.5,Wenke Lee
CS 6262,OCY,Fall 2020,Very Large (>50 students),3.56,66.2,14.9,4,0,4,10.8,Wenke Lee
CS 6262,QSA,Fall 2020,Mid-size (21-30 students),4,100,0,0,0,0,0,Wenke Lee
CS 6262,A,Spring 2012,Large (31-49 students),3.65,62.5,34.4,0,0,0,3.1,Wenke Lee
CS 6262,QSA,Spring 2015,Large (31-49 students),3.97,97.1,2.9,0,0,0,0,Wenke Lee
CS 6262,O01,Spring 2017,Very Large (>50 students),3.68,66.8,14.4,2.7,1.3,1,13.8,Wenke Lee
CS 6262,O01,Spring 2018,Very Large (>50 students),3.1,29.8,27,4.6,0,6.1,32.5,Wenke Lee
CS 6262,O01,Spring 2019,Very Large (>50 students),3.08,20.4,23.9,6.7,1.1,2.5,45.4,Wenke Lee
CS 6262,OCY,Spring 2019,Very Small (<10 students),3,25,25,25,0,0,25,Wenke Lee
CS 6262,O01,Spring 2020,Very Large (>50 students),3.48,43.3,14.2,1.4,0.4,3.6,37.1,Wenke Lee
CS 6262,OCY,Spring 2020,Very Large (>50 students),3.51,47.1,13.2,7.4,0,1.5,30.9,Wenke Lee
CS 6262,O01,Spring 2021,Very Large (>50 students),3.78,70.2,5.2,0.8,0.8,2,20.2,Wenke Lee
CS 6262,OCY,Spring 2021,Very Large (>50 students),3.5,62,15.5,5.6,0,4.2,12.7,Wenke Lee
CS 6262,O01,Summer 2017,Very Large (>50 students),3.58,60.1,21.7,1.9,1.1,1.9,13.3,Wenke Lee
CS 6262,QSA,Summer 2017,Large (31-49 students),3.97,97.1,2.9,0,0,0,0,Wenke Lee
CS 6262,O01,Summer 2018,Very Large (>50 students),2.89,23.7,39.2,11.6,0,6.9,18.5,Wenke Lee
CS 6262,O01,Summer 2019,Very Large (>50 students),2.95,35.8,19,2.9,2.9,10.2,29.2,Wenke Lee
CS 6262,OCY,Summer 2019,Large (31-49 students),2.77,31.8,15.9,9.1,2.3,11.4,29.6,Wenke Lee
CS 6262,O01,Summer 2020,Very Large (>50 students),3.68,55.8,9.4,2.2,0,2.2,30.4,Wenke Lee
CS 6262,OCY,Summer 2020,Very Large (>50 students),3.69,63.5,13.5,1.9,0,1.9,19.2,Wenke Lee
